SKU,Workshop Group,Format,Time (hours),Title of Offering,Description,Learner Outcomes,Prerequisites,Toolbox,Status
EDU-CO_001,Coding,F2F,3 hours,Coding for Every Teacher,"In this workshop, you will explore how coding relates to everyday applications. You will learn the concepts of computational thinking, why coding is important, how to write code and the elements of programming.  Upon completion of this workshop, you will have a better understanding of how coding aligns to the subject areas you teach and be able to write some code of your own to apply to your classroom applications.","- Identify the ways coding enhances our everyday lives
- Explore the basic functions and uses of common coding languages
- Connect coding skills to other content areas
- Identify fixed vs growth mindsets
- Align Computational Thinking to Inquiry-based and Problem-based learning
- Write your own simple code",TBD,TBD,Needs updating
EDU-CO_002, Coding ,eLearning,self-paced,Coding for Every Teacher (eL),"See My First Robot in SMS Products and compare course descriptions.                                                                                                                                                                                              In this online introductory course, you will gain a basic understanding around the concepts of computational thinking, why coding is important, how it relates to everyday applications and the elements of programming. Upon completing this course, you will be able to write simple code, connect coding to Problem-based and Inquiry-based Learning, define the basics of block coding via Scratch, identify ways to involve your students in coding, and have a better understanding of how coding relates to your subject area/s.","- Examine how coding impacts our everyday lives
- Connect coding to Problem-based and Inquiry-based Learning
- Identify ways to get your students involved with coding
- Apply the basics of block coding via Scratch 
- Write your own simple code",TBD,TBD,Needs updating
EDU-HU_001,Hummingbird,eLearning,self-paced,My First Robot (eL),"In this hands on workshop, you will be introduced to a real world authentic problem and will use your skills to research, plan and solve it with My First Robot. You'll collaborate with others, create and construct solutions based on the research and design process. You will design and build your own robot, learn to code it and gain hand on experience which you can use to further engage your students in the design thinking process. You will delve deeply into computational thinking and innovative designing by utilizing the Hummingbird Robotics kit to adapt and integrate robotic elements into your design to assist and integrate with your design solution. You will reflect on your design and proposed solution, and adapt your creation if necessary until the problem is solved.
*Note : This is a glimpse into Phase 1 of the unit plan/design process. Students of this workshop might need to revise and adapt several times throughout their creation and collaboration processes. ","Student:
- Discover causes for animals becoming an endangered
species
- Explore how adaptations can help animals survive
- Collaborate with peers to plan and create an adaptable
robot
- Code lights (or any component of the Hummingbird Kit) to
integrate design solutions

Teacher
- Connect electronic components of the Hummingbird Kit
- Program the components
- Build robots from various materials
- Plan and prepare facilitating the lesson with students",TBD,TBD,Needs updating
EDU-HU_002,Hummingbird,F2F,3 hours,Hummingbird Basics,"Why use robots in the classroom?  During this workshop, we will discuss the benefits of becoming a maker, using authentic hands on learning to experience building, wiring and coding your Robot with the Hummingbird Duo Premium Kit. You'll further develop the skills of critical thinking, collaboration and communication as you wire your robot to the circuit board and utilize lights, motors, and a sensor to further your robotics creation.  At the conclusion of this workshop, you'll have experience learning how to create, wire and code robots. Return to your classroom and implement immediately! ","- Identify reasons for using robotics in the classroom
- Identify uses for available lights and motors
- Create a robot using the Hummingbird board
- Code lights, motors, and one sensor with Visual Programmer",TBD,TBD,Needs updating
EDU-HU_003,Hummingbird,F2F,3 hours,Hummingbird Coding with Visual Programmer,"Once you understand how to connect the parts of the Hummingbird Robotics Kit, it is time for you and your students to learn how to code your robots. In this hands-on workshop, you will use the Visual Programmer software to program your Hummingbird Robot. In this workshop, you'll discover how to change the color of the lights, add sensors and multiple outputs to your creation to make it come alive with code. By the completion of this workshop, you will be able to create deeper learning in your classroom with engineering and code.","- Plan and create a robot
- Program a robot with Visual Programmer
- Create a lesson that utilizes Visual Programmer",TBD,TBD,Needs updating
EDU-HU_004,Hummingbird,F2F,3 hours,Hummingbird Coding with Scratch 2.0,"Once you understand how to connect the parts of the Hummingbird Robotics Kit, it is time to experience how engaging it is for you and your students to program your robots. In this workshop, you will use MIT’s Scratch 2.0 to program your Hummingbird Robots. You'll discover how to change the color of the lights, add sensors, and multiple outputs to your creation to make it come alive with code! At the completion of this workshop, you'll be able to create deeper learning in your classroom with engineering and code.","- Plan and create a robot
- Program a robot with Scratch 2.0
- Create a lesson that utilizes Scratch 2.0",TBD,TBD,Needs updating
EDU-HU_005,Hummingbird,F2F,3 hours,Hummingbird Coding with Snap!,"Once you know how to connect the parts of the Hummingbird Robotics Kit, it is time to experience how engaging it is for you and your and students to program your robots.  In this workshop, you will use Berkeley's Snap! to program your Hummingbird Robots. You'll discover how to change the color of the lights, add sensors, and multiple outputs to your creation and make it come alive with code. By the completion of this workshop, you'll be able to create deeper learning in your classroom with engineering and code.","- Plan and create a robot
- Program a robot with Snap!
- Create a lesson that utilizes Snap!",TBD,TBD,Needs updating
EDU-HU_006,Hummingbird,F2F,3 hours,Hummingbird in the Classroom*,"How will Hummingbird Robots enhance teaching and learning in your classroom?  In this hands-on workshop, you will explore how using robots and coding can be done cross-curricular and that coding is not just for the science classroom. You will participate in a model lesson and develop ideas for incorporating Hummingbird into your own content area and classroom. You'll further explore how Hummingbird will enhance your social studies, math, ELA, and science lessons. You'll plan a lesson with Hummingbird and by the completion of this workshop, you'll have a deeper understanding of how learning to code helps students code to learn.
","- Participate in model lesson
- Identify projects to incorporate Hummingbird into the Classroom
- Plan a lesson for your classroom
- Use client’s current coding language to generate advanced coding in the classroom",TBD,TBD,Needs updating
EDU-HU_007,Hummingbird,F2F,3 hours,Hummingbird Advanced Coding*,"In this hands-on workshop, you will take your Hummingbird Robotics Kit to the next level. You will learn how to build and program increasingly complex robots with motors, sensors, and LEDs available from the the kit. You will design a robot that uses multiple pieces of hardware and program the robot to sense and respond to light, distance, temperature, and sound. You will use advanced coding features such as creating loops, states, and functions. By the completion of this workshop, you will generate project ideas and lessons for incorporating robotics into the classroom.","- Plan and build a robot to solve a problem
- Program a robot to use available hardware
- Generate ideas for incorporating robotics into the classroom
- Use client’s current coding language to generate advanced coding in the classroom",Hummingbird Coding with Snap!,TBD,Needs updating
EDU-LB_001, littleBits ,F2F,6 hours,STEAM is a SNAP! (STEAM Kit),"STEAM defines a culture of thinking that enables growth, sparks creativity, and boosts engagement. In this hands-on course, you will develop an understanding of how littleBits works. You will invent with littleBits. By the completion of this course, you will take advantage of the simple modular design of the littleBits STEAM Student Set to inspire confidence and creative thinking in tyour students. ","- Develop an understanding of how littleBits work
- Invent with littleBits
- Facilitate a growth mindset through the littleBits Invention Cycle
",TBD,TBD,Needs updating
